username,Comments
namakucingnya_cimidancikal,Udah ga pernah nonton tv
trisuratni,"Hadeeeh, kalau cuaca mendung berangin.. Sinyal timbul tenggelam gambar TV ikutan ilang😢"
bayu039byd,Mohon STB nya dibagi min
rudi1998th,siaran televisi analog selesai pembangunan instruktur dari anolog ke digital
anemoritosu,"Buru2 beli stb krna ngejar trans tv suka ada film,eh sensitif sinyalnya msh suka ilang2"
babeh_gian,Bnerin dlu signal nya baru terapkan
brensky14,"Diem ga guna, gerak nyusain 😂"
rudi1998th,berarti kominfo tinggal perkuatkan sinyal TV STB di daerah sekitar kekurangan BTS selesai langsung diluncurkan tanggal november 2022
bayu_bachtiar,"STB nya doang , Led TV nya kaga ?"
harry.a.setiawan,"Ra popo, wong wes ga tau nnton tv 😆😆😆"
tedi_permana31,Apakah sekrang nonton tv harus paje vpn biar lncae jya
mama_via24,Pembagian STB ?? Bagi kemana tuh???
mama_via24,Tolong donk link2 video porno diurus.....dah seliweran.....
yenny.suparman,Bagi STB pak
cintarsihz,Sebelum dimatiin bagiin dulu set box digitalnya @kemenkominfo
tasyakuri26,"Alat nya banyak di jual tapi begitu ada yg rusak susah mendapatkan nya, harus ganti semuanya satu paket, saya hanya remot nya ajah gak fungsi dan gak bisa beli remot nya ajah. Tolong persiapkan sebelum di jual bebas. Bebaan masyarakat juga."
adi_yudh,Pak cahnel tv digital di daerah saya cuma ada metrotv pak 😢
tasyakuri26,Proyek lagi
arifin_nur13,Sinyalnya masih kurang kuat
mfrnay10_,#janganNONTONTV
agusstiin_015,Masyarakat kurang mampu di paksa untuk kaya😂 karena bantuan tsbt tidak tersalur rata👏
linggarr_28,Jatim gmna?
henipuspitaindah,Tiba2 mau matiin aja ..stb nya aja blm dibagi...alamat ga bsa nonton tv...derita tv tabung 14 inc..😢
fittdm,stb gratis dong punya tv digital nganggur nih d rmh😂
dandelion_dna,"Akunnya kementerian pendidikan Indonesia mana ya... ini persyaratan sistem zonasi harus gonta ganti kk padahal udah tk sd di kecamatan yang sama mau smp aja kk harus ganti. . Apa gunanya ektp satu data, orang pintar kayak ilang amonge gonta ganti kk kayak orang mumet"
riyan_sunarya,STB NYA MANA
denis.a.p_,Nah gini gek. Kan frekuensinya bisa dipakai 5G
rin_aldypakam,Dimedan kapan net tv mengudara???cuma net tv siaran nasional yg blm dapat di siaran digital
misnanarifin11,kasian yg msh pake tv tabung .
mrs.ricoo,@kemenkominfo lbh baik dipersiapkan dl
lupiforever,👏STB.Kompor Listrik proyek lgi. gk hbis hbis proyeknya. tidak ke beli beli Stb nya
fandiakhmadd,KOMINFO ANJING
rommi_jalaludin,"Pastikan dulu dilapangan semua masyarakat yang membutuhkan menerima bantuan STB tersebut, pastikan juga tidak ada satupun yang terselip dalam pembagiannya sehingga mereka belum menerima, kalo dimatikan siaran analog apa yang terjadi bagi yang mereka yang belum mendapat bantuan?"
jeghz,"1,8jt org gabut wkk"
mwahyudins,apa masih ada yg nonton TV
rz_chandraa,Minfo tolong....!!!jaga aja data kependudukan kami jgn diperjualbelikan emg kami gk tau sistem dagang nya yg jelas sesuatu yg mengancam hak keamanan dan kenyamanan warga itu melanggar hukum...
ginanjardedi,"Rcti, gtv, mnca ko blm ada y di depok"
